"","id","category","weblink_au_t"
"1","1","Motto in English","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"2","1","Making Minds Matter[1]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"3","1","Type","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"4","1","Public, General","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"5","1","Established","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"6","1","1913","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"7","1","Endowment","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"8","1","€588 million[2]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"9","1","Rector","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"10","1","Annelien Bredenoord [3]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"11","1","Academic staff","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"12","1","3.398[4]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"13","1","Students","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"14","1","29,499[4]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"15","1","Location","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"16","1","Rotterdam, Netherlands","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"17","1","Colours","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"18","1","Erasmus Green & Bright Green[5][6].mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   ","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"19","1","Affiliations","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"20","1","AMBA EQUIS AACSB","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"21","1","Website","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"22","1","www.eur.nl","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"23","1","ARWU World[23]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"24","1","101-150 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"25","1","CWUR World[10]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"26","1","96 (2021-22)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"27","1","CWTS World[9]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"28","1","82 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"29","1","QS World[24]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"30","1","179 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"31","1","THE World[7]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"32","1","72 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"33","1","USNWR Global[8]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"34","1","=62 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"35","1","Business Insider MBA[25]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"36","1","29 (2020)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"37","1","Financial Times MBA[26]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"38","1","66 (2020)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"39","1","QS Business[27]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"40","1","16 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"41","1","QS Economics[28]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"42","1","43 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"43","1","QS MBA[29]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"44","1","30 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"45","1","THE Business and Economics[30]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"46","1","26 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"47","1","ARWU Clinical medicine and pharmacy[31]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"48","1","34 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"49","1","ARWU Life sciences[32]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"50","1","51-75 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"51","1","QS Life Sciences & Medicine[33]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"52","1","49 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"53","1","THE Clinical and Health[34]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"54","1","48 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"55","2","Motto in English","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"56","2","Making Minds Matter[1]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"57","2","Type","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"58","2","Public, General","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"59","2","Established","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"60","2","1913","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"61","2","Endowment","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"62","2","€588 million[2]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"63","2","Rector","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"64","2","Annelien Bredenoord [3]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"65","2","Academic staff","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"66","2","3.398[4]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"67","2","Students","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"68","2","29,499[4]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"69","2","Location","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"70","2","Rotterdam, Netherlands","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"71","2","Colours","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"72","2","Erasmus Green & Bright Green[5][6].mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}   ","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"73","2","Affiliations","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"74","2","AMBA EQUIS AACSB","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"75","2","Website","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"76","2","www.eur.nl","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"77","2","ARWU World[23]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"78","2","101-150 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"79","2","CWUR World[10]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"80","2","96 (2021-22)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"81","2","CWTS World[9]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"82","2","82 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"83","2","QS World[24]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"84","2","179 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"85","2","THE World[7]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"86","2","72 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"87","2","USNWR Global[8]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"88","2","=62 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"89","2","Business Insider MBA[25]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"90","2","29 (2020)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"91","2","Financial Times MBA[26]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"92","2","66 (2020)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"93","2","QS Business[27]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"94","2","16 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"95","2","QS Economics[28]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"96","2","43 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"97","2","QS MBA[29]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"98","2","30 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"99","2","THE Business and Economics[30]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"100","2","26 (2022)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"101","2","ARWU Clinical medicine and pharmacy[31]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"102","2","34 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"103","2","ARWU Life sciences[32]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"104","2","51-75 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"105","2","QS Life Sciences & Medicine[33]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"106","2","49 (2021)","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"107","2","THE Clinical and Health[34]","https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
