"","exists","weblink_au"
"3",TRUE,"https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"5",TRUE,"https://wikipedia.org/wiki/Erasmus_University_Rotterdam"
"6",TRUE,"https://wikipedia.org/wiki/Lund_University"
"7",TRUE,"https://wikipedia.org/wiki/The_University_of_North_Carolina_at_Chapel_Hill"
"8",TRUE,"https://wikipedia.org/wiki/University_of_Cape_Town"
"9",TRUE,"https://wikipedia.org/wiki/University_of_Geneva"
"10",TRUE,"https://wikipedia.org/wiki/University_of_Manchester"
"11",TRUE,"https://wikipedia.org/wiki/American_Museum_of_Natural_History"
"12",TRUE,"https://wikipedia.org/wiki/Howard_Hughes_Medical_Institute"
"13",TRUE,"https://wikipedia.org/wiki/University_of_Alberta"
"14",TRUE,"https://wikipedia.org/wiki/University_of_Colorado_Boulder"
"15",TRUE,"https://wikipedia.org/wiki/American_Museum_of_Natural_History"
"16",TRUE,"https://wikipedia.org/wiki/University_of_Cape_Town"
"17",TRUE,"https://wikipedia.org/wiki/The_University_of_Chicago"
"18",TRUE,"https://wikipedia.org/wiki/University_of_Arizona"
"19",TRUE,"https://wikipedia.org/wiki/University_of_Illinois_at_Urbana-Champaign"
"20",TRUE,"https://wikipedia.org/wiki/University_of_Copenhagen"
"21",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"22",TRUE,"https://wikipedia.org/wiki/University_of_Michigan"
"23",TRUE,"https://wikipedia.org/wiki/University_of_Colorado_System"
"24",TRUE,"https://wikipedia.org/wiki/NA"
"25",TRUE,"https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)"
"26",TRUE,"https://wikipedia.org/wiki/The_World_Bank_Group"
"27",TRUE,"https://wikipedia.org/wiki/University_of_Michigan"
"28",TRUE,"https://wikipedia.org/wiki/Technical_University_of_Denmark_(DTU)"
"29",TRUE,"https://wikipedia.org/wiki/University_of_London"
"30",TRUE,"https://wikipedia.org/wiki/SOAS_University_of_London"
"31",TRUE,"https://wikipedia.org/wiki/University_of_California_San_Diego"
"33",TRUE,"https://wikipedia.org/wiki/"
"34",TRUE,"https://wikipedia.org/wiki/"
"35",TRUE,"https://wikipedia.org/wiki/"
"36",TRUE,"https://wikipedia.org/wiki/"
"37",TRUE,"https://wikipedia.org/wiki/"
"38",TRUE,"https://wikipedia.org/wiki/"
"39",TRUE,"https://wikipedia.org/wiki/"
"40",TRUE,"https://wikipedia.org/wiki/"
"41",TRUE,"https://wikipedia.org/wiki/"
"42",TRUE,"https://wikipedia.org/wiki/"
